"pk_species";"indicator";"habitat_specialisation_f";"habitat_specialisation";"european_fbi";"french_fbi";"montane_lehikoinen"
"SOMMOL";f;"non";"";f;f;f
"POLSTE";f;"non";"";f;f;f
"HISHIS";f;"non";"";f;f;f
"CLAHYE";f;"non";"";f;f;f
"MELNIG";f;"non";"";f;f;f
"MELPER";f;"non";"";f;f;f
"MELFUS";f;"non";"";f;f;f
"BUCISL";f;"non";"";f;f;f
"BUCCLA";f;"non";"";f;f;f
"MERSER";f;"non";"";f;f;f
"OXYJAM";f;"non";"";f;f;f
"OXYLEU";f;"non";"";f;f;f
"TORTRA";f;"non";"";f;f;f
"ANACRE";f;"non";"";f;f;f
"ANAPEN";f;"non";"";f;f;f
"ANAPLA";f;"non";"";f;f;f
"ANAQUE";f;"non";"";f;f;f
"ANASTR";f;"non";"";f;f;f
"AYTAFF";f;"non";"";f;f;f
"AYTFER";f;"non";"";f;f;f
"AYTFUL";f;"non";"";f;f;f
"AYTMAR";f;"non";"";f;f;f
"BRABER";f;"non";"";f;f;f
"BRACAN";f;"non";"";f;f;f
"BRALEU";f;"non";"";f;f;f
"ELACAE";f;"non";"";f;f;f
"GYPBAR";f;"non";"";f;f;f
"AIXGAL";f;"non";"";f;f;f
"GYPFUL";f;"non";"";f;f;f
"MARANG";f;"non";"";f;f;f
"MERALB";f;"non";"";f;f;f
"MERMER";f;"non";"";f;f;f
"MILMIG";f;"non";"";f;f;f
"MILMIL";f;"non";"";f;f;f
"NEOPER";f;"non";"";f;f;f
"NETRUF";f;"non";"";f;f;f
"PERAPI";f;"non";"";f;f;f
"TADFER";f;"non";"";f;f;f
"TADTAD";f;"non";"";f;f;f
"ALOAEG";f;"non";"";f;f;f
"ANAACU";f;"non";"";f;f;f
"AIXSPO";f;"non";"";f;f;f
"ANACLY";f;"non";"";f;f;f
"BUTBUTVUL";f;"non";"";f;f;f
"BUTLAG";f;"non";"";f;f;f
"AQUPOM";f;"non";"";f;f;f
"AQUCLA";f;"non";"";f;f;f
"AQUHEL";f;"non";"";f;f;f
"FALELE";f;"non";"";f;f;f
"FALBIA";f;"non";"";f;f;f
"FALCHE";f;"non";"";f;f;f
"FALRUS";f;"non";"";f;f;f
"LAGLAGSCO";f;"non";"";f;f;f
"CALCAL";f;"non";"";f;f;f
"ALECHU";f;"non";"";f;f;f
"ALEBAR";f;"non";"";f;f;f
"TURSYL";f;"non";"";f;f;f
"PORCAR";f;"non";"";f;f;f
"PORPAR";f;"non";"";f;f;f
"PORPUS";f;"non";"";f;f;f
"PORALL";f;"non";"";f;f;f
"CIRPYG";f;"non";"";f;f;f
"FALSUB";f;"non";"";f;f;f
"BUTRUF";f;"non";"";f;f;f
"LAGLAG";f;"non";"";f;f;f
"TETRIX";f;"non";"";f;f;t
"CIRAER";f;"non";"";f;f;f
"CIRCYA";f;"non";"";f;f;f
"CIRGAL";f;"non";"";f;f;f
"CIRMAC";f;"non";"";f;f;f
"COLVIR";f;"non";"";f;f;f
"COTCOT";t;"milieux agricoles";"farmland";f;t;f
"CRECRE";f;"non";"";f;f;f
"FALCOL";f;"non";"";f;f;f
"FALNAU";f;"non";"";f;f;f
"ACCGEN";f;"non";"";f;f;f
"FALPER";f;"non";"";f;f;f
"FALTIN";t;"milieux agricoles";"farmland";t;t;t
"FALVES";f;"non";"";f;f;f
"GALCHL";f;"non";"";f;f;f
"HIEFAS";f;"non";"";f;f;f
"HIEPEN";f;"non";"";f;f;f
"LAGMUT";f;"non";"";f;f;t
"PANHAL";f;"non";"";f;f;f
"PERPER";t;"milieux agricoles";"farmland";t;t;f
"PHACOL";f;"non";"";f;f;f
"PORPOR";f;"non";"";f;f;f
"RALAQU";f;"non";"";f;f;f
"SYRREE";f;"non";"";f;f;f
"TETURO";f;"non";"";f;f;f
"ALEGRA";f;"non";"";f;f;t
"AQUCHR";f;"non";"";f;f;t
"ACCNIS";f;"non";"";f;f;f
"BONBON";f;"non";"";f;f;f
"PORRIO";f;"non";"";f;f;f
"CHLUND";f;"non";"";f;f;f
"CHAVOC";f;"non";"";f;f;f
"CHALES";f;"non";"";f;f;f
"CHAASI";f;"non";"";f;f;f
"PLUDOM";f;"non";"";f;f;f
"PLUAPRAPR";f;"non";"";f;f;f
"PLUAPRALT";f;"non";"";f;f;f
"HOPSPI";f;"non";"";f;f;f
"CHEGRE";f;"non";"";f;f;f
"CALPUS";f;"non";"";f;f;f
"CALMAU";f;"non";"";f;f;f
"CALLIS";f;"non";"";f;f;f
"CALTEM";f;"non";"";f;f;f
"CALLLA";f;"non";"";f;f;f
"CALFUS";f;"non";"";f;f;f
"CALBAI";f;"non";"";f;f;f
"CALMEL";f;"non";"";f;f;f
"CALFER";f;"non";"";f;f;f
"CALMAR";f;"non";"";f;f;f
"CALALPALP";f;"non";"";f;f;f
"CALALPSCH";f;"non";"";f;f;f
"LIMFAL";f;"non";"";f;f;f
"MICHIM";f;"non";"";f;f;f
"TRYSUB";f;"non";"";f;f;f
"LYMMIN";f;"non";"";f;f;f
"CALCAN";f;"non";"";f;f;f
"CHADUB";f;"non";"";f;f;f
"CALMIN";f;"non";"";f;f;f
"CHAHIA";f;"non";"";f;f;f
"CHELEU";f;"non";"";f;f;f
"CURCUR";f;"non";"";f;f;f
"FULATR";f;"non";"";f;f;f
"CALACU";f;"non";"";f;f;f
"FULCRI";f;"non";"";f;f;f
"GALGAL";f;"non";"";f;f;f
"GLAPRA";f;"non";"";f;f;f
"GRUGRU";f;"non";"";f;f;f
"HAEOST";f;"non";"";f;f;f
"HIMHIM";f;"non";"";f;f;f
"OTITAR";f;"non";"";f;f;f
"PHIPUG";f;"non";"";f;f;f
"PLUAPR";f;"non";"";f;f;f
"PLUSQU";f;"non";"";f;f;f
"RECAVO";f;"non";"";f;f;f
"TETRAX";f;"non";"";t;f;f
"VANVAN";t;"milieux agricoles";"farmland";t;t;f
"CALALB";f;"non";"";f;f;f
"CALALP";f;"non";"";f;f;f
"GALMED";f;"non";"";f;f;f
"LIMSCO";f;"non";"";f;f;f
"NUMTEN";f;"non";"";f;f;f
"BARLON";f;"non";"";f;f;f
"TRITOTTOT";f;"non";"";f;f;f
"TRITOTROB";f;"non";"";f;f;f
"TRISTA";f;"non";"";f;f;f
"TRIMEL";f;"non";"";f;f;f
"TRIFLA";f;"non";"";f;f;f
"TRISOL";f;"non";"";f;f;f
"XENCIN";f;"non";"";f;f;f
"ACTMAC";f;"non";"";f;f;f
"CATSEM";f;"non";"";f;f;f
"PHATRI";f;"non";"";f;f;f
"PHALOB";f;"non";"";f;f;f
"STEPOM";f;"non";"";f;f;f
"STECUS";f;"non";"";f;f;f
"STELON";f;"non";"";f;f;f
"STESKU";f;"non";"";f;f;f
"LARATR";f;"non";"";f;f;f
"LARPIP";f;"non";"";f;f;f
"LARPHI";f;"non";"";f;f;f
"LARAUD";f;"non";"";f;f;f
"LARDEL";f;"non";"";f;f;f
"LARFUSFUS";f;"non";"";f;f;f
"LARFUSGRA";f;"non";"";f;f;f
"LARGLA";f;"non";"";f;f;f
"LARHYP";f;"non";"";f;f;f
"RHOROS";f;"non";"";f;f;f
"RISTRI";f;"non";"";f;f;f
"LARFUS";f;"non";"";f;f;f
"LARGEN";f;"non";"";f;f;f
