"pk_species","ssi","ssi_old","ssi_2007","sti","sti_europe","thermal_niche_mean","thermal_niche_range","thermal_niche_max","thermal_niche_min","stri","exp_stri","trophic_vegetation","trophic_invertebrate","trophic_vertebrate"
"LAGLAG",,,,,6.7378701704,,,,,,,,,
"LAGMUT",,,,,6.0246781137,,,,,,,,,
"LANCOL",1.1022579801427,1.23797221,0.920832663,14.64834294,12.6238867722,13.4682,12.5961,19.7362,7.14011,2.15,8.58,0,85,15
"LANEXC",,,,,11.2044136127,,,,,,,,,
"LANMIN",,,,,14.8453039355,,,,,,,,,
"LANSEN",1.74269791763961,,,,15.8753774905,,,,,2.05,7.77,,,
"LARARG",,,,,9.0583381929,,,,,,,,,
"LARARGARG",,,,,9.0583381929,,,,,,,,,
"LARAUD",,,,,18.6662598707,,,,,,,,,
"LARCAN",,,,,8.5740563147,,,,,,,,,
"LARFUS",,,,,8.9178677716,,,,,,,,,
"LARGEN",,,,,17.4584264435,,,,,,,,,
"LARGLA",,,,,-2.9490311399,,,,,,,,,
"LARHYP",,,,,-0.6919898898,,,,,,,,,
"LARMAR",,,,,8.3694639418,,,,,,,,,
"LARMEL",,,,,13.9748160871,,,,,,,,,
"LARMIC",1.72160441383067,,,,16.1930437657,,,,,2.3,9.97,,,
"LARMIN",,,,,9.3576083447,,,,,,,,,
"LARRID",,,,,11.0679667544,,,,,,,,,
"LIMFAL",,,,,4.9733644757,,,,,,,,,
"LIMLAP",,,,,3.2516240678,,,,,,,,,
"LIMLIM",,,,,12.0468335512,,,,,,,,,
"LOCFLU",,,,,12.3186544297,,,,,,,,,
"LOCLAN",,,,,6.3786241919,,,,,,,,,
"LOCLUS",,,,,13.5908101527,,,,,,,,,
"LOCNAE",1.18018298617417,1.24,0.926120454,13.58111415,11.7684221003,,,,,2,7.39,,,
"LOXCUR",2.22012650792025,,,,10.4943181045,,,,,1.11,3.03,,,
"LOXLEU",,,,,6.0397762908,,,,,,,,,
"LOXPYT",,,,,7.2167836224,,,,,,,,,
"LOXSCO",,,,,9.2372096482,,,,,,,,,
